Position.bp. Rate.cM.Mb. Map.cM.
55550 2.981822 0
82571 2.082414 0.080572
88169 2.081358 0.092229
254996 3.354927 0.439456
564598 2.887498 1.478148
564621 2.885864 1.478214
565433 2.883892 1.480558
568322 2.88757 1.488889
568527 2.89542 1.489481
721290 2.655176 1.931794
723819 2.669992 1.938509
728242 2.671779 1.950319
729948 2.675202 1.954877
739010 2.677693 1.979119
740857 2.68431 1.984065
750235 1.5956 2.009238
752566 1.205854 2.012958
753269 1.205507 2.013806
753541 0.493648 2.014133
754745 0.399609 2.014728
765948 0.494327 2.019205
767038 0.493138 2.019743
767070 0.513499 2.019759
768448 0.455582 2.020467
769551 0.456521 2.020969
771521 0.458418 2.021869
774047 0.462218 2.023027
775659 0.457037 2.023772
776546 0.453806 2.024177
777122 0.453593 2.024438
777513 0.45437 2.024616
779322 0.453268 2.025438
780027 0.453415 2.025757
780785 0.453231 2.026101
784023 0.453169 2.027569
784904 0.457151 2.027968
785050 2.366093 2.028035
785989 2.904551 2.030256
792480 3.12272 2.04911
798026 4.588229 2.066428
798801 4.578148 2.069984
798959 4.370906 2.070708
799463 4.344183 2.072911
800007 4.287599 2.075274
808312 4.180096 2.110882
846864 3.187313 2.272033
882033 3.162755 2.384128
888659 2.747543 2.405084
957898 0.952858 2.595322
962210 0.517933 2.59943
982573 0.521736 2.609977
990380 0.513886 2.61405
998501 0.513754 2.618223
998874 0.510871 2.618415
1003629 0.496544 2.620844
1005806 0.40754 2.621925
1011006 0.393293 2.624044
1017170 1.250116 2.626469
1017197 1.889336 2.626502
1017216 2.17313 2.626538
1017587 1.717554 2.627345
1017598 1.341542 2.627363
1018562 1.320611 2.628657
1018704 1.310429 2.628844
1018966 1.297303 2.629188
1021346 1.851467 2.632275
1021408 1.911398 2.63239
1021415 2.349187 2.632403
1021583 2.439198 2.632798
1021658 2.635598 2.632981
1021695 2.917768 2.633078
1022037 3.303601 2.634076
1025301 3.324303 2.644859
1026707 3.304892 2.649533
1030374 2.573938 2.661652
1030565 0.660922 2.662144
1031060 0.614689 2.662471
1031540 0.280745 2.662766
1033994 0.280671 2.663455
1033999 0.280597 2.663456
1034953 0.280571 2.663724
1036959 0.2615 2.664287
1040026 0.261278 2.665089
1046164 0.261441 2.666693
1048955 0.262259 2.667422
1049950 0.263129 2.667683
1052946 0.263101 2.668472
1053452 0.262919 2.668605
1053570 0.263541 2.668636
1060235 0.579117 2.670392
1060608 0.939437 2.670608
1061115 1.029868 2.671085
1061152 1.097144 2.671123
1061166 1.164451 2.671138
1062015 1.949239 2.672127
1062638 3.111017 2.673341
1063145 3.111201 2.674918
1064535 3.117384 2.679243
1064979 3.112779 2.680627
1065131 3.111979 2.6811
1066029 3.108379 2.683895
1066403 2.082911 2.685057
1071118 2.088522 2.694878
1077064 1.993944 2.707297
1080925 1.566224 2.714995
1083999 1.566138 2.71981
1087683 1.373533 2.725579
1088534 1.373218 2.726748
1089262 1.261795 2.727748
1089699 1.260043 2.728299
1089830 1.258851 2.728464
1090557 1.257472 2.72938
1094738 1.304641 2.734637
1097335 1.405654 2.738025
1099342 3.045698 2.740846
1100217 10.395476 2.743511
1106112 10.408427 2.804793
1106473 10.417759 2.80855
1110019 3.384691 2.845492
1113121 4.736431 2.855991
1119858 6.429479 2.8879
1120431 6.114334 2.891584
1121794 2.69245 2.899918
1124663 0.774338 2.907643
1125553 0.503328 2.908332
1129672 0.506694 2.910405
1130727 0.510678 2.91094
1135242 0.56595 2.913245
1138913 0.656701 2.915323
1143657 0.749307 2.918438
1144058 0.813646 2.918739
1146785 1.147119 2.920958
1150764 1.291115 2.925522
1151300 1.507419 2.926214
1152631 1.50722 2.92822
1156131 1.484461 2.933496
1158277 0.678155 2.936681
1158631 0.676539 2.936921
1162435 0.675671 2.939495
1163804 0.673704 2.94042
1164476 0.671288 2.940873
1165310 0.66947 2.941433
1169381 0.669494 2.944158
1172907 0.673125 2.946519
1174282 0.671902 2.947444
1176597 0.677265 2.949
1181751 0.721528 2.95249
1182031 0.720772 2.952692
1182350 0.719668 2.952922
