position COMBINED_rate.cM.Mb. Genetic_Map.cM.
0 2.685807669 0.410292036939447
2529 2.8222713027 0.417429561063975
2601 2.9813105581 0.417644215424158
6952 2.9806151254 0.430612871834774
8658 3.0780969498 0.435864105231133
19567 3.075133293 0.46941073432447
28945 1.7834967078 0.486136366450218
31276 1.132377766 0.488775939022764
32902 0.5926495385 0.489739587172365
33455 0.3843792616 0.48995214890403
44658 0.4143186879 0.494593761164574
45780 0.4476843436 0.495096062998093
47158 0.4482706865 0.49571378000409
48261 0.4503094344 0.496210471310233
50231 0.4573571141 0.49711146482501
52757 0.4689814731 0.49829611202606
54369 0.4607819868 0.499038892588782
55256 0.4547784807 0.499442281101163
55832 0.4539712829 0.499703768560114
56223 0.4559978684 0.499882063726658
58032 0.4564198167 0.500707727175068
58737 0.4564688377 0.501029537705647
59495 0.4560404505 0.501375216367126
62733 0.4560153696 0.50285179413389
63614 0.465166049 0.50326160542306
63760 3.1979932601 0.503728512439034
64699 4.1068312312 0.507584826965131
71190 4.4923190939 0.536744470203636
76736 5.7728684628 0.568760798698325
77511 5.7751919537 0.573236572462442
77669 5.4012795058 0.574089974624359
78173 5.3521292533 0.576787447768022
78717 5.2371543059 0.579636459710431
87022 4.9596712094 0.620826529104498
125574 0 0.620826529104498
160743 0 0.620826529104498
228318 2.0585596818 0.759933699602133
240920 1.8166948714 0.782827688371516
269090 0.7986394369 0.80532536130899
277211 0.7962264825 0.811791516573372
277584 0.7859213289 0.812084665229051
282339 0.7365928662 0.815587164307832
284516 0.4245371392 0.81651138165987
289716 0.4104527917 0.81864573617671
295880 1.6641073113 0.828903293643564
295907 2.5034032714 0.828970885531892
295926 2.9661542209 0.829027242462089
296297 2.1915127166 0.829840293679947
296308 1.5342521559 0.829857170453662
297272 1.5090234604 0.831311869069488
297414 1.4975125333 0.831524515849216
297676 1.4834570607 0.83191318159912
300056 1.9831213252 0.836633010353096
300118 2.0389818721 0.836759427229166
300125 2.6545564477 0.8367780091243
300293 2.907737087 0.837266508954916
300368 3.1587997733 0.837503418937913
300405 3.6137736432 0.837637128562712
300747 4.3816199011 0.839135642568888
304011 4.4116479441 0.85353526145843
305417 4.4031409327 0.859726077609807
309084 3.6430978155 0.873085317299245
309275 1.9292891744 0.873453811531556
309343 0.478474218 0.87348634777838
310250 0.2860420943 0.87374578795791
312704 0.2860477049 0.874447749025734
313663 0.2858560892 0.874721885015277
315669 0.28556279 0.875294723972017
318736 0.285410371 0.876170077579874
324874 0.285346484 0.877921534298666
327665 0.285346484 0.87871793633551
328660 0.2853517328 0.879001861309646
332162 0.2853018512 0.880000988392548
332280 0.2855509768 0.880034683407811
338884 1.0517735622 0.88698059601258
338945 1.7795950384 0.887089151309922
339318 2.7418967188 0.888111878786034
339825 2.7370023147 0.889499538959587
339862 2.7430087913 0.889601030284865
339876 2.7374871209 0.889639355104558
340725 2.7668039422 0.891988371651486
341348 2.7692815228 0.89371363404019
341855 2.7685259207 0.895117276681985
343245 2.7690213364 0.898966216339581
343689 2.7650952148 0.900193918614952
343841 2.7630216474 0.900613897905357
344739 2.7616667979 0.903093874689871
345113 2.7510654623 0.904122773172772
349828 2.7475022356 0.917077246213626
355774 2.7166868043 0.933230665951993
357908 2.662511649 0.93891246581096
359635 1.9294296144 0.942244590755028
362709 1.9280550198 0.948171431885893
366393 1.6590902963 0.954283520537463
367244 1.6584991828 0.955694903342025
367972 1.4586361619 0.956756790467889
368409 1.4537242672 0.957392067972655
368540 1.4490131139 0.957581888690576
369267 1.4428791244 0.958630861814015
373448 1.4456543379 0.964675142600775
376045 1.5233754403 0.968631348619234
378052 4.673377232 0.978010816723858
378927 6.2094400492 0.983444076766908
384822 6.2261864856 1.02014744609952
385183 6.2399276494 1.02240005998095
388729 6.4116163111 1.04513565142011
391831 8.3547196629 1.07105199181443
398568 8.3557064685 1.12734438629271
399141 7.2118843884 1.13147679604727
399724 4.746116378 1.13424378189564
400504 3.7363837299 1.13715816120496
403373 0.7263999768 1.1392422027384
404263 0.5366073603 1.13971978328907
408382 0.5368839259 1.14193120817985
409437 0.5418122819 1.14250282013726
413952 0.6272567772 1.14533488448631
417623 0.8358016407 1.14840311230932
419145 0.8647574748 1.14971927318597
